Company,Developer,Application / Job #,Division,City/Town,Zip Code,Circuit ID,Substation,"Hybrid
(Y/N)",Related Application/Job #,"PV
(kWAC)","ESS
(kWAC)","WIND
(kWAC)","MT
(kWAC)","SG
(kWAC)","IG
(kWAC)","FW
(kWAC)","FC
(kWAC)","CHP
(kWAC)","GT
(kWAC)","HYDRO
(kWAC)","ICE
(kWAC)","ST
(kWAC)","OTHER
(kWAC)","Metering
(NA / NM / RNM / CDG)","Value Stack
(Y/N)",Start Date,End Date,Calculated Duration,"Application Approved Date 
(Utility)",Start Date (Must Match Application Approved Date),End Date,Calculated Duration,Payment Received Date,Start Date,End Date,Calculated Duration,CESIR cost to customer,CESIR cost to utility,Estimated Costs by Utility,Actual Customer Project Costs,Actual Utility Project Costs,Down Payment Date,Full Payment Date,Construction Start Date,Construction Complete Date,Verification Testing or Final Acceptance Date,Final Letter of Acceptance Date,Project Complete (Y/N),Utility Retention of REC (Y/N)
O&R,Other,DGINT-00083,WEST,Middletown,10940,109-4-34,Washington Heights,NO,0,7.6,,,,,,,,,,,,,,NM,NO,26/05/2016,10/06/2016,10,10/06/2016,,,,,,,,,,,,,,,,,01/08/2016,01/08/2016,Yes,NO
O&R,Other,DGINT-00085,EAST,Nyack,10960,21-12-13,West Nyack,NO,0,6,,,,,,,,,,,,,,NM,NO,28/05/2016,13/06/2016,9,07/07/2016,,,,,,,,,,,,,,,,,16/08/2016,16/08/2016,Yes,NO
O&R,Other,DGINT-00086,EAST,Valley Cottage,10989,22-7-13,Congers,NO,0,3,,,,,,,,,,,,,,NM,NO,28/05/2016,13/06/2016,9,07/07/2016,,,,,,,,,,,,,,,,,14/09/2016,14/09/2016,Yes,NO
O&R,Other,DGINT-00087,CENTRAL,Chester,10918,61-8-13,Monroe,NO,0,12,,,,,,,,,,,,,,NM,NO,31/05/2016,13/06/2016,9,13/06/2016,,,,,,,,,,,,,,,,,14/07/2016,14/07/2016,Yes,NO
O&R,Other,DGINT-00088,CENTRAL,Chester,10918,63-6-13,Chester,NO,0,8.2,,,,,,,,,,,,,,NM,NO,31/05/2016,14/06/2016,10,14/06/2016,,,,,,,,,,,,,,,,,04/08/2016,04/08/2016,Yes,NO
O&R,Other,DGINT-00089,EAST,Nanuet,10954,53-7-13,Nanuet,NO,0,5.76,,,,,,,,,,,,,,NM,NO,01/06/2016,14/06/2016,9,14/06/2016,,,,,,,,,,,,,,,,,01/09/2016,01/09/2016,Yes,NO
O&R,Other,DGINT-00090,EAST,Valley Cottage,10989,22-5-13,Congers,NO,0,8.6,,,,,,,,,,,,,,NM,NO,01/06/2016,15/06/2016,10,15/06/2016,,,,,,,,,,,,,,,,,16/08/2016,16/08/2016,Yes,NO
O&R,Other,DGINT-00091,CENTRAL,Goshen,10924,89-2-13,South Goshen,NO,0,4.2,,,,,,,,,,,,,,NM,NO,01/06/2016,15/06/2016,10,15/06/2016,,,,,,,,,,,,,,,,,14/07/2016,14/07/2016,Yes,NO
O&R,Other,DGINT-00092,CENTRAL,Goshen,10924,13-9-13,Hartley Road,NO,0,7.7,,,,,,,,,,,,,,NM,NO,01/06/2016,15/06/2016,10,15/06/2016,,,,,,,,,,,,,,,,,19/08/2016,19/08/2016,Yes,NO
O&R,Other,DGINT-00093,CENTRAL,Florida,10921,63-8-13,Chester,NO,0,6,,,,,,,,,,,,,,NM,NO,02/06/2016,16/06/2016,10,07/07/2016,,,,,,,,,,,,,,,,,09/08/2016,09/08/2016,Yes,NO
O&R,Other,DGINT-00094,WEST,Westtown,10998,103-3-13,Westtown,NO,0,5.16,,,,,,,,,,,,,,NM,NO,02/06/2016,16/06/2016,10,06/07/2016,,,,,,,,,,,,,,,,,04/08/2016,04/08/2016,Yes,NO
O&R,Other,DGINT-00095,CENTRAL,Goshen,10924,13-9-13,Hartley Road,NO,0,3.5,,,,,,,,,,,,,,NM,NO,02/06/2016,16/06/2016,10,11/07/2016,,,,,,,,,,,,,,,,,19/08/2016,19/08/2016,Yes,NO
O&R,Other,DGINT-00096,EAST,New City,10956,22-1-13,Congers,NO,0,21.12,,,,,,,,,,,,,,NM,NO,03/06/2016,16/06/2016,9,16/06/2016,,,,,,,,,,,,,,,,,01/09/2016,01/09/2016,Yes,NO
O&R,Other,DGINT-00097,CENTRAL,Goshen,10924,89-2-13,South Goshen,NO,0,7.8,,,,,,,,,,,,,,NM,NO,03/06/2016,16/06/2016,9,12/07/2016,,,,,,,,,,,,,,,,,14/09/2016,14/09/2016,Yes,NO
O&R,Other,DGINT-00098,CENTRAL,Highland Mills,10930,71-5-13,Harriman,NO,0,9.6,,,,,,,,,,,,,,NM,NO,03/06/2016,16/06/2016,9,01/07/2016,,,,,,,,,,,,,,,,,09/08/2016,09/08/2016,Yes,NO
O&R,Other,DGINT-00099,EAST,Chestnut Ridge,10977,72-7-13,Summit Ave,NO,0,12,,,,,,,,,,,,,,NM,NO,06/06/2016,16/06/2016,8,01/07/2016,,,,,,,,,,,,,,,,,19/08/2016,19/08/2016,Yes,NO
O&R,Other,DGINT-00100,CENTRAL,Monroe,10950,71-2-13,Harriman,NO,0,6.72,,,,,,,,,,,,,,NM,NO,06/06/2016,16/06/2016,8,01/07/2016,,,,,,,,,,,,,,,,,30/08/2016,30/08/2016,Yes,NO
O&R,Other,DGINT-00101,EAST,Pomona,10970,23-4-13,Stony Point,NO,0,17,,,,,,,,,,,,,,NM,NO,06/06/2016,17/06/2016,9,17/06/2016,,,,,,,,,,,,,,,,,27/07/2016,27/07/2016,Yes,NO
