tractid,NAME,state,year,pop,whiteshare,blackshare,poc,majpoc,per_highschool,per_bachelors,medinc,incabovemedian,area,popdens,urbanshare,p
41051001000,"Census Tract 10, Multnomah County, Oregon",OR,2019,6139,0.8358038768529077,0.013357224303632514,0.1641961231470923,0,0.7507737416517348,0.4749959276755172,82217,1,0.975,5490.25641025641,1,122654549
41051001801,"Census Tract 18.01, Multnomah County, Oregon",OR,2019,4650,0.8298924731182795,0.07053763440860215,0.17010752688172048,0,0.7438709677419355,0.3735483870967742,63117,1,0.451,8986.696230598669,1,122604552
41051002303,"Census Tract 23.03, Multnomah County, Oregon",OR,2019,2731,0.8059318930794581,0.04430611497619919,0.19406810692054188,0,0.8590259978030026,0.5100695715854998,54563,1,0.761,2622.8646517739817,1,122664553
41051002702,"Census Tract 27.02, Multnomah County, Oregon",OR,2019,3393,0.8334806955496611,0.05953433539640436,0.1665193044503389,0,0.7161803713527851,0.46153846153846156,48056,1,0.331,7788.519637462236,1,122624553
41051003401,"Census Tract 34.01, Multnomah County, Oregon",OR,2019,4150,0.6706024096385542,0.19156626506024096,0.3293975903614458,0,0.6274698795180723,0.39903614457831327,81587,1,0.369,9037.940379403793,1,122664556
41051003401,"Census Tract 34.01, Multnomah County, Oregon",OR,2019,4150,0.6706024096385542,0.19156626506024096,0.3293975903614458,0,0.6274698795180723,0.39903614457831327,81587,1,0.369,9037.940379403793,1,122674556
41051003401,"Census Tract 34.01, Multnomah County, Oregon",OR,2019,4150,0.6706024096385542,0.19156626506024096,0.3293975903614458,0,0.6274698795180723,0.39903614457831327,81587,1,0.369,9037.940379403793,1,122674555
41051003502,"Census Tract 35.02, Multnomah County, Oregon",OR,2019,2641,0.8424839076107535,0.0363498674744415,0.15751609238924646,0,0.7777357061719046,0.5475198788337751,100750,1,0.468,4333.333333333333,1,122674554
41051004002,"Census Tract 40.02, Multnomah County, Oregon",OR,2019,6590,0.7555386949924128,0.028528072837632777,0.24446130500758723,0,0.4525037936267071,0.28042488619119876,80833,1,0.95,6107.368421052632,1,122714557
41051004102,"Census Tract 41.02, Multnomah County, Oregon",OR,2019,5518,0.8649873142442914,0.01757883291047481,0.13501268575570857,0,0.7122145704965567,0.4102935846321131,74798,1,0.741,6701.754385964912,1,122734558
41051005800,"Census Tract 58, Multnomah County, Oregon",OR,2019,4801,0.838367006873568,0.011247656738179545,0.16163299312643198,0,0.7635909185586336,0.6148719016871486,103304,1,1.468,3301.7711171662127,1,122704550
41051006701,"Census Tract 67.01, Multnomah County, Oregon",OR,2019,3341,0.8700987728225082,0.050882969170906914,0.12990122717749175,0,0.7165519305597127,0.4657288237054774,118177,1,0.714,4275.910364145659,1,122734547
41051007700,"Census Tract 77, Multnomah County, Oregon",OR,2019,2033,0.6556812592228234,0.061977373339891784,0.3443187407771766,0,0.675848499754058,0.23167732415150025,54554,1,0.425,4651.764705882353,1,122574556
41051009302,"Census Tract 93.02, Multnomah County, Oregon",OR,2019,4647,0.6776414891327738,0.0705831719388853,0.3223585108672262,0,0.6025392726490209,0.1809769743920809,62705,1,1.053,4202.279202279203,1,122534552
41067030900,"Census Tract 309, Washington County, Oregon",OR,2019,5570,0.7929982046678635,0.012028725314183124,0.20700179533213647,0,0.5271095152603231,0.15457809694793537,49043,1,1.322,3979.5763993948563,1,122774543
41067032005,"Census Tract 320.05, Washington County, Oregon",OR,2019,4780,0.7822175732217573,0.013179916317991631,0.21778242677824267,0,0.5251046025104602,0.20669456066945607,54464,1,1.256,3319.267515923567,1,122744539
41067032409,"Census Tract 324.09, Washington County, Oregon",OR,2019,5366,0.5795751024972047,0.036526276556093924,0.4204248975027953,0,0.3581811405143496,0.08162504658963847,40064,1,0.41,13014.634146341465,1,122964551
41067032606,"Census Tract 326.06, Washington County, Oregon",OR,2019,5770,0.81421143847487,0,0.18578856152513,0,0.61421143847487,0.17972270363951473,66471,1,1.014,6351.084812623274,1,122974552
42003020100,"Census Tract 201, Allegheny County, Pennsylvania",PA,2019,5490,0.7868852459016393,0.08597449908925318,0.21311475409836067,0,0.6380692167577413,0.48415300546448087,77759,1,0.649,5591.679506933744,1,799964043
42003020100,"Census Tract 201, Allegheny County, Pennsylvania",PA,2019,5490,0.7868852459016393,0.08597449908925318,0.21311475409836067,0,0.6380692167577413,0.48415300546448087,77759,1,0.649,5591.679506933744,1,800014044
42003020100,"Census Tract 201, Allegheny County, Pennsylvania",PA,2019,5490,0.7868852459016393,0.08597449908925318,0.21311475409836067,0,0.6380692167577413,0.48415300546448087,77759,1,0.649,5591.679506933744,1,799954043
